Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
stefanil_JFXControls,com.jsyn.examples,AudioPassThrough,test,21,1,0,21,0,,
stefanil_JFXControls,com.jsyn.examples,AudioPassThrough,main,3,1,1,57,0,com.jsyn.examples.AudioPassThrough,com.jsyn.examples.AudioPassThrough
stefanil_JFXControls,com.jsyn.examples,ChebyshevSong,main,7,1,1,40,0,,
stefanil_JFXControls,com.jsyn.examples,ChebyshevSong,start,30,2,0,52,0,,
stefanil_JFXControls,com.jsyn.examples,ChebyshevSong,stop,5,1,0,99,0,,
stefanil_JFXControls,com.jsyn.examples,ChebyshevSong,indexToFrequency,6,1,1,107,0,,
stefanil_JFXControls,com.jsyn.examples,ChebyshevSong,noteOff,3,1,2,115,0,,
stefanil_JFXControls,com.jsyn.examples,ChebyshevSong,noteOn,7,1,2,120,0,com.jsyn.examples.ChebyshevSong,com.jsyn.examples.ChebyshevSong
stefanil_JFXControls,com.jsyn.examples,ChebyshevSong,run,29,6,0,129,0,com.jsyn.examples.ChebyshevSong,com.jsyn.examples.ChebyshevSong
stefanil_JFXControls,com.jsyn.examples,CircuitTester,init,17,1,0,30,0,com.jsyn.examples.CircuitTester,com.jsyn.examples.CircuitTester
stefanil_JFXControls,com.jsyn.examples,CircuitTester,createUnitSource,3,1,0,57,0,,
stefanil_JFXControls,com.jsyn.examples,CircuitTester,start,5,1,0,69,0,,
stefanil_JFXControls,com.jsyn.examples,CircuitTester,stop,4,1,0,79,0,,
stefanil_JFXControls,com.jsyn.examples,CircuitTester,main,7,1,1,86,0,,
stefanil_JFXControls,com.jsyn.examples,CustomCubeUnit,generate,8,2,2,15,0,,
stefanil_JFXControls,com.jsyn.examples,DualOscilloscope,init,27,4,0,44,0,com.jsyn.examples.DualOscilloscope,com.jsyn.examples.DualOscilloscope
stefanil_JFXControls,com.jsyn.examples,DualOscilloscope,setupGUI,21,1,0,81,0,com.jsyn.examples.DualOscilloscope,com.jsyn.examples.DualOscilloscope
stefanil_JFXControls,com.jsyn.examples,DualOscilloscope,actionPerformed,5,1,1,90,0,com.jsyn.examples.DualOscilloscope,com.jsyn.examples.DualOscilloscope
stefanil_JFXControls,com.jsyn.examples,DualOscilloscope,startAudio,11,3,1,108,0,,
stefanil_JFXControls,com.jsyn.examples,DualOscilloscope,start,3,1,0,130,0,com.jsyn.examples.DualOscilloscope,com.jsyn.examples.DualOscilloscope
stefanil_JFXControls,com.jsyn.examples,DualOscilloscope,stopAudio,6,1,0,135,0,,
stefanil_JFXControls,com.jsyn.examples,DualOscilloscope,stop,3,1,0,143,0,com.jsyn.examples.DualOscilloscope,com.jsyn.examples.DualOscilloscope
stefanil_JFXControls,com.jsyn.examples,DualOscilloscope,main,7,1,1,149,0,,
stefanil_JFXControls,com.jsyn.examples,EditEnvelope1,main,7,1,1,50,0,,
stefanil_JFXControls,com.jsyn.examples,EditEnvelope1,start,49,1,0,62,0,,
stefanil_JFXControls,com.jsyn.examples,EditEnvelope1,actionPerformed,4,1,1,89,0,,
stefanil_JFXControls,com.jsyn.examples,EditEnvelope1,actionPerformed,4,1,1,99,0,,
stefanil_JFXControls,com.jsyn.examples,EditEnvelope1,actionPerformed,4,1,1,109,0,,
stefanil_JFXControls,com.jsyn.examples,EditEnvelope1,stop,3,1,0,138,0,,
stefanil_JFXControls,com.jsyn.examples,FFTPassthrough,test,34,1,0,32,0,,
stefanil_JFXControls,com.jsyn.examples,FFTPassthrough,main,3,1,1,89,0,com.jsyn.examples.FFTPassthrough,com.jsyn.examples.FFTPassthrough
stefanil_JFXControls,com.jsyn.examples,GoogleWaveOscillator,GoogleWaveOscillator,3,1,0,13,0,,
stefanil_JFXControls,com.jsyn.examples,GoogleWaveOscillator,generate,28,4,2,18,0,,
