Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
si-yao_chat-room,client,LifeKeeper,run,38,5,0,14,0,,
si-yao_chat-room,client,ReceiveHandle,ReceiveHandle,3,1,1,14,0,,
si-yao_chat-room,client,ReceiveHandle,run,63,9,0,17,0,,
si-yao_chat-room,client,ReceiveService,ReceiveService,6,1,0,15,0,,
si-yao_chat-room,client,ReceiveService,getInstance,6,2,0,22,0,,
si-yao_chat-room,client,ReceiveService,run,12,2,0,29,0,,
si-yao_chat-room,client,ReceiveService,start,7,2,0,44,0,,
si-yao_chat-room,client,SendHandle,SendHandle,3,1,1,17,0,,
si-yao_chat-room,client,SendHandle,run,52,13,0,21,0,client.SendHandle,client.SendHandle
si-yao_chat-room,client,SendHandle,p2p,69,9,0,79,0,,
si-yao_chat-room,client,SendHandle,address,26,5,0,151,0,,
si-yao_chat-room,client,SendHandle,logout,17,3,0,181,0,,
si-yao_chat-room,client,SendHandle,unblock,19,3,0,201,0,,
si-yao_chat-room,client,SendHandle,block,19,3,0,223,0,,
si-yao_chat-room,client,SendHandle,broadcast,19,3,0,245,0,,
si-yao_chat-room,client,SendHandle,online,9,2,0,267,0,,
si-yao_chat-room,client,SendHandle,message,23,4,0,281,0,,
si-yao_chat-room,client,SendService,SendService,8,1,0,31,0,,
si-yao_chat-room,client,SendService,setAddr,4,1,2,40,0,,
si-yao_chat-room,client,SendService,getInstance,6,2,0,45,0,,
si-yao_chat-room,client,SendService,run,63,9,0,66,0,,
si-yao_chat-room,client,SendService,start,7,2,0,134,0,,
si-yao_chat-room,(default package),Client,main,38,4,1,16,0,,
si-yao_chat-room,(default package),Client,run,23,3,0,35,0,,
si-yao_chat-room,(default package),Main,main,2,1,1,3,0,,
si-yao_chat-room,(default package),Server,main,26,3,1,15,0,,
si-yao_chat-room,(default package),Server,run,18,3,0,23,0,,
si-yao_chat-room,server,HubHandle,HubHandle,5,1,1,17,0,,
si-yao_chat-room,server,HubHandle,run,46,11,0,23,0,server.HubHandle,server.HubHandle
si-yao_chat-room,server,HubHandle,alive,7,1,1,73,0,,
si-yao_chat-room,server,HubHandle,address,50,8,1,86,0,server.HubHandle,server.HubHandle
si-yao_chat-room,server,HubHandle,logout,25,7,1,149,0,,
si-yao_chat-room,server,HubHandle,unblock,25,6,1,206,0,server.HubHandle,server.HubHandle
si-yao_chat-room,server,HubHandle,block,21,4,1,237,0,server.HubHandle,server.HubHandle
si-yao_chat-room,server,HubHandle,broadcast,20,5,1,264,0,server.HubHandle,server.HubHandle
si-yao_chat-room,server,HubHandle,isOnline,3,1,1,313,0,,
si-yao_chat-room,server,HubHandle,blockBbyA,9,4,2,322,0,,
si-yao_chat-room,server,HubHandle,online,7,2,0,339,0,,
si-yao_chat-room,server,HubHandle,auth,38,5,1,351,0,server.HubHandle,server.HubHandle
si-yao_chat-room,server,HubHandle,error,5,1,0,395,0,,
si-yao_chat-room,server,HubHandle,message,57,8,1,405,0,,
si-yao_chat-room,server,HubService,HubService,21,2,0,29,0,,
si-yao_chat-room,server,HubService,getInstance,6,2,0,51,0,,
si-yao_chat-room,server,HubService,run,14,2,0,58,0,,
si-yao_chat-room,server,HubService,start,7,2,0,74,0,,
si-yao_chat-room,server,LifeKiller,LifeKiller,9,1,0,22,0,,
si-yao_chat-room,server,LifeKiller,run,23,5,0,31,0,,
si-yao_chat-room,utility,KVSerialize,encode,11,2,1,12,0,utility.KVSerialize,utility.KVSerialize
si-yao_chat-room,utility,KVSerialize,encode,8,3,2,24,0,,
si-yao_chat-room,utility,KVSerialize,decode,29,6,1,36,0,,
si-yao_chat-room,utility,KVSerialize,printMap,8,2,1,68,0,,
si-yao_chat-room,utility,KVSerializeTest,main,8,1,1,8,0,,
si-yao_chat-room,utility,LogService,LogService,5,1,0,10,0,,
si-yao_chat-room,utility,LogService,getInstance,6,2,0,16,0,,
si-yao_chat-room,utility,LogService,log,4,1,1,23,0,,
si-yao_chat-room,utility,LogService,close,5,1,0,28,0,,
si-yao_chat-room,utility,SocketService,SocketService,5,1,1,15,0,,
si-yao_chat-room,utility,SocketService,getInstance,6,2,1,21,0,,
si-yao_chat-room,utility,SocketService,request,11,1,3,35,0,,
si-yao_chat-room,utility,SocketService,listen,4,1,0,57,0,,
si-yao_chat-room,utility,SocketService,readSokect,6,1,1,67,0,,
si-yao_chat-room,utility,SocketService,response,4,1,2,81,0,,
